ID,:LABEL,accession,name,synonyms,description,taxid
P05067-3,Protein,A4_HUMAN,APP,"A4_HUMAN,APP,1AAP,1AMB,1AMC,1AML,1BA4,1BA6,1BJB,1BJC,1BRC,1CA0,1HZ3,1IYT,1MWP,1OWT,1QCM,1QWP,1QXC,1QYT,1TAW,1TKN,1UO7,1UO8,1UOA,1UOI,1X11,1Z0Q,1ZE7,1ZE9,1ZJD,2BEG,2BOM,2BP4,2FJZ,2FK1,2FK2,2FK3,2FKL,2FMA,2G47,2IPU,2LFM,2LLM,2LMN,2LMO,2LMP,2LMQ,2LNQ,2LOH,2LP1,2LZ3,2LZ4,2M4J,2M9R,2M9S,2MGT,2MJ1,2MPZ,2MVX,2MXU,2NAO,2OTK,2R0W,2WK3,2Y29,2Y2A,2Y3J,2Y3K,2Y3L,3AYU,3BAE,3BKJ,3DXC,3DXD,3DXE,3GCI,3IFL,3IFN,3IFO,3IFP,3JQ5,3JQL,3JTI,3KTM,3L33,3L81,3MOQ,3MXC,3MXY,3NYJ,3NYL,3OVJ,3OW9,3PZZ,3Q2X,3SV1,3U0T,3UMH,3UMI,3UMK,4HIX,4JFN,4M1C,4MDR,4MVI,4MVK,4MVL,4NGE,4OJF,4ONF,4ONG,4PQD,4PWQ,4XXD,5AEF,5AM8,5AMB,5BUO,5C67,5CSZ,5HOW,5HOX,5HOY,5KK3,5LFY,5LV0,5MY4,5MYO,5MYX,5ONP,5ONQ,5OQV,5TXD,5VOS,5VZY,5W3P,6CO3,6GFI,6ITU,6IYC,6NB9,6O4J,6OC9,6OIZ,6RHY,6SHS,6TI5,6TI6,6TI7,6WXM,9606.ENSP00000284981,CHEMBL2487,ENSG00000142192",,9606
P54619-3,Protein,AAKG1_HUMAN,PRKAG1,"AAKG1_HUMAN,PRKAG1,2UV4,2UV5,2UV6,2UV7,4CFE,4CFF,4RER,4REW,4ZHX,5EZV,5ISO,6B1U,6B2E,6C9F,6C9G,6C9H,6C9J,9606.ENSP00000323867,CHEMBL2393,ENSG00000181929",,9606
Q8WWZ4-4,Protein,ABCAA_HUMAN,ABCA10,"ABCAA_HUMAN,ABCA10,9606.ENSP00000269081,ENSG00000154263",,9606
Q8NFV4-4,Protein,ABHDB_HUMAN,ABHD11,"ABHDB_HUMAN,ABHD11,9606.ENSP00000222800,CHEMBL2189134,ENSG00000106077",,9606
P86434,Protein,AAS1_HUMAN,ADORA2A-AS1,"AAS1_HUMAN,ADORA2A-AS1",,9606
Q9HC16-3,Protein,ABC3G_HUMAN,APOBEC3G,"ABC3G_HUMAN,APOBEC3G,2JYW,2KBO,2KEM,3E1U,3IQS,3IR2,3V4J,3V4K,4ROV,4ROW,5ZVA,5ZVB,6BUX,6BWY,6K3J,6K3K,9606.ENSP00000385057,CHEMBL1741217,ENSG00000239713",,9606
Q86UK0-1,Protein,ABCAC_HUMAN,ABCA12,"ABCAC_HUMAN,ABCA12,9606.ENSP00000272895,ENSG00000144452",,9606
P28288-3,Protein,ABCD3_HUMAN,ABCD3,"ABCD3_HUMAN,ABCD3,9606.ENSP00000359233,ENSG00000117528",,9606
Q6JQN1-5,Protein,ACD10_HUMAN,ACAD10,"ACD10_HUMAN,ACAD10,9606.ENSP00000389813,CHEMBL4105816,ENSG00000111271",,9606
P45381,Protein,ACY2_HUMAN,ASPA,"ACY2_HUMAN,ASPA,2I3C,2O4H,2O53,2Q51,4MRI,4MXU,4NFR,4TNU,9606.ENSP00000263080,ENSG00000108381",,9606
Q13444,Protein,ADA15_HUMAN,ADAM15,"ADA15_HUMAN,ADAM15,9606.ENSP00000349436,CHEMBL2331050,ENSG00000143537",,9606
Q15173,Protein,2A5B_HUMAN,PPP2R5B,"2A5B_HUMAN,PPP2R5B,9606.ENSP00000164133,ENSG00000068971",,9606
Q8TDG2,Protein,ACTT1_HUMAN,ACTRT1,"ACTT1_HUMAN,ACTRT1,9606.ENSP00000360165,ENSG00000123165",,9606
Q9H7C9-2,Protein,AAMDC_HUMAN,AAMDC,"AAMDC_HUMAN,AAMDC,2AB1,2Q4Q,9606.ENSP00000431808,ENSG00000087884",,9606
Q8WU67,Protein,ABHD3_HUMAN,ABHD3,"ABHD3_HUMAN,ABHD3,9606.ENSP00000289119,ENSG00000158201",,9606
P35348-2,Protein,ADA1A_HUMAN,ADRA1A,"ADA1A_HUMAN,ADRA1A,9606.ENSP00000369960,CHEMBL229,ENSG00000120907",,9606
Q9P2A4,Protein,ABI3_HUMAN,ABI3,"ABI3_HUMAN,ABI3,9606.ENSP00000225941,ENSG00000108798",,9606
Q6H8Q1-6,Protein,ABLM2_HUMAN,ABLIM2,"ABLM2_HUMAN,ABLIM2,1V6G,1WIG,2L3X,9606.ENSP00000393511,ENSG00000163995",,9606
Q96CM8-4,Protein,ACSF2_HUMAN,ACSF2,"ACSF2_HUMAN,ACSF2,9606.ENSP00000401831,ENSG00000167107",,9606
P22303,Protein,ACES_HUMAN,ACHE,"ACES_HUMAN,ACHE,1B41,1F8U,1PUV,1PUW,1VZJ,2CLJ,2X8B,3LII,4BDT,4EY4,4EY5,4EY6,4EY7,4EY8,4M0E,4M0F,4PQE,5FOQ,5FPQ,5HF5,5HF6,5HF8,5HF9,5HFA,6CQT,6CQU,6CQV,6CQW,6CQX,6CQY,6CQZ,6F25,6NEA,6NTG,6NTH,6NTK,6NTL,6NTM,6NTN,6NTO,6O4W,6O4X,6O50,6O52,6O5R,6O5S,6O5V,6O66,6O69,6U34,6U37,6U3P,9606.ENSP00000303211,CHEMBL220,ENSG00000087085",,9606
P30939,Protein,5HT1F_HUMAN,HTR1F,"5HT1F_HUMAN,HTR1F,9606.ENSP00000322924,CHEMBL1805,ENSG00000179097",,9606
P04217,Protein,A1BG_HUMAN,A1BG,"A1BG_HUMAN,A1BG,9606.ENSP00000263100,ENSG00000121410",,9606
P08697-2,Protein,A2AP_HUMAN,SERPINF2,"A2AP_HUMAN,SERPINF2,9606.ENSP00000321853,ENSG00000167711,ENSG00000276838",,9606
Q709F0-3,Protein,ACD11_HUMAN,ACAD11,"ACD11_HUMAN,ACAD11,2WBI,9606.ENSP00000264990,CHEMBL4105707,ENSG00000240303",,9606
Q16537-1,Protein,2A5E_HUMAN,PPP2R5E,"2A5E_HUMAN,PPP2R5E,9606.ENSP00000337641,ENSG00000154001",,9606
Q9BZC7-1,Protein,ABCA2_HUMAN,ABCA2,"ABCA2_HUMAN,ABCA2,9606.ENSP00000344155,ENSG00000107331",,9606
Q13362-5,Protein,2A5G_HUMAN,PPP2R5C,"2A5G_HUMAN,PPP2R5C,2IAE,2JAK,2NPP,2NYL,2NYM,3FGA,5JJA,5K6S,5SW9,5SWF,6OYL,6VOY,6VRO,9606.ENSP00000412324,ENSG00000078304",,9606
Q15018,Protein,ABRX2_HUMAN,ABRAXAS2,"ABRX2_HUMAN,ABRAXAS2,6H3C,6R8F,9606.ENSP00000298492,ENSG00000165660",,9606
Q07912-3,Protein,ACK1_HUMAN,TNK2,"ACK1_HUMAN,TNK2,1CF4,1U46,1U4D,1U54,3EQP,3EQR,4EWH,4HZR,4HZS,4ID7,5ZXB,9606.ENSP00000371341,CHEMBL4599,ENSG00000061938",,9606
P0DMS9-1,Protein,AA3R_HUMAN,ADORA3,"AA3R_HUMAN,ADORA3,1OEA,1R7N,CHEMBL256,ENSG00000282608",,9606
O00590,Protein,ACKR2_HUMAN,ACKR2,"ACKR2_HUMAN,ACKR2,9606.ENSP00000416996,CHEMBL4105988,ENSG00000144648",,9606
P05408,Protein,7B2_HUMAN,SCG5,"7B2_HUMAN,SCG5,9606.ENSP00000300175,ENSG00000166922,ENSG00000277614,ENSG00000281931",,9606
P62258-2,Protein,1433E_HUMAN,YWHAE,"1433E_HUMAN,YWHAE,2BR9,3UAL,3UBW,6EIH,9606.ENSP00000264335,CHEMBL3329082,ENSG00000108953,ENSG00000274474",,9606
Q66LE6,Protein,2ABD_HUMAN,PPP2R2D,"2ABD_HUMAN,PPP2R2D,9606.ENSP00000399970,ENSG00000175470",,9606
P08697-1,Protein,A2AP_HUMAN,SERPINF2,"A2AP_HUMAN,SERPINF2,9606.ENSP00000321853,ENSG00000167711,ENSG00000276838",,9606
O75077-3,Protein,ADA23_HUMAN,ADAM23,"ADA23_HUMAN,ADAM23,9606.ENSP00000264377,ENSG00000114948",,9606
P26439-2,Protein,3BHS2_HUMAN,HSD3B2,"3BHS2_HUMAN,HSD3B2,9606.ENSP00000445122,CHEMBL3670,ENSG00000203859",,9606
Q8TDY3,Protein,ACTT2_HUMAN,ACTRT2,"ACTT2_HUMAN,ACTRT2,9606.ENSP00000367658,ENSG00000169717",,9606
Q9NQ94-1,Protein,A1CF_HUMAN,A1CF,"A1CF_HUMAN,A1CF,2CPD,9606.ENSP00000378868,ENSG00000148584",,9606
Q5QJU3-1,Protein,ACER2_HUMAN,ACER2,"ACER2_HUMAN,ACER2,9606.ENSP00000342609,CHEMBL2331067,ENSG00000177076",,9606
O14639-4,Protein,ABLM1_HUMAN,ABLIM1,"ABLM1_HUMAN,ABLIM1,9606.ENSP00000277895,ENSG00000099204",,9606
Q9Y3Q7-1,Protein,ADA18_HUMAN,ADAM18,"ADA18_HUMAN,ADAM18,9606.ENSP00000265707,ENSG00000168619,ENSG00000278548",,9606
Q8NC06,Protein,ACBD4_HUMAN,ACBD4,"ACBD4_HUMAN,ACBD4,2WH5,ENSG00000181513",,9606
P20309,Protein,ACM3_HUMAN,CHRM3,"ACM3_HUMAN,CHRM3,2CSA,9606.ENSP00000255380,CHEMBL245,ENSG00000133019",,9606
P13798,Protein,ACPH_HUMAN,APEH,"ACPH_HUMAN,APEH,9606.ENSP00000296456,CHEMBL1741174,ENSG00000164062",,9606
Q9H6R3-2,Protein,ACSS3_HUMAN,ACSS3,"ACSS3_HUMAN,ACSS3,9606.ENSP00000449535,ENSG00000111058",,9606
Q16537,Protein,2A5E_HUMAN,PPP2R5E,"2A5E_HUMAN,PPP2R5E,9606.ENSP00000337641,ENSG00000154001",,9606
O43741-2,Protein,AAKB2_HUMAN,PRKAB2,"AAKB2_HUMAN,PRKAB2,2F15,2V8Q,2V92,2V9J,2Y8L,2Y8Q,2YA3,4CFH,4EAI,4EAJ,4RER,4REW,6B2E,9606.ENSP00000254101,CHEMBL2117,ENSG00000131791",,9606
Q15822,Protein,ACHA2_HUMAN,CHRNA2,"ACHA2_HUMAN,CHRNA2,5FJV,9606.ENSP00000385026,CHEMBL2109230,CHEMBL2109236,ENSG00000120903",,9606
P41595,Protein,5HT2B_HUMAN,HTR2B,"5HT2B_HUMAN,HTR2B,4IB4,4NC3,5TUD,5TVN,6DRX,6DRY,6DRZ,6DS0,9606.ENSP00000258400,CHEMBL1833,ENSG00000135914",,9606
Q9UKU0-3,Protein,ACSL6_HUMAN,ACSL6,"ACSL6_HUMAN,ACSL6,9606.ENSP00000368566,ENSG00000164398",,9606
P31947-2,Protein,1433S_HUMAN,SFN,"1433S_HUMAN,SFN,1YWT,1YZ5,3IQJ,3IQU,3IQV,3LW1,3MHR,3O8I,3P1N,3P1O,3P1P,3P1Q,3P1R,3P1S,3SMK,3SML,3SMM,3SMN,3SMO,3SP5,3SPR,3T0L,3T0M,3U9X,3UX0,4DAT,4DAU,4DHM,4DHN,4DHO,4DHP,4DHQ,4DHR,4DHS,4DHT,4DHU,4FL5,4FR3,4IEA,4JC3,4JDD,4QLI,4Y32,4Y3B,4Y5I,5BTV,5HF3,5LTW,5LU1,5LU2,5MHC,5MOC,5MXO,5MY9,5MYC,5N5R,5N5T,5N5W,5N75,5OEG,5OEH,5OK9,5OKF,5OM0,5OMA,6FAU,6FAV,6FAW,6FBB,6FBW,6FBY,6FCP,6FI4,6FI5,6G6X,6G8I,6G8J,6G8K,6G8L,6G8P,6G8Q,6GHP,6HHP,6HKB,6HKF,6HMT,6HMU,6HN2,6NV2,6QDR,6QDS,6QDT,6QDU,6QHL,6QHM,6QIU,6QZR,6QZS,6R5L,6RHC,6RJL,6RJQ,6RJZ,6RK8,6RKI,6RKK,6RKM,6RL3,6RL4,6RL6,6RM5,6RM7,6RP6,6RWH,6RWI,6RWS,6RWU,6RX2,6S39,6S3C,6S40,6S9Q,6SIN,6SIO,6SIP,6SIQ,6SLV,6SLW,6SLX,6TCH,6TJM,6TL3,6TLF,6TLG,6TM7,6TWZ,6W0L,6Y1J,9606.ENSP00000340989,CHEMBL1909482,ENSG00000175793",,9606
Q9NUB1,Protein,ACS2L_HUMAN,ACSS1,"ACS2L_HUMAN,ACSS1,3GLR,3GLT,3GLU,4BVE,4BVF,4BVG,4C78,5Y4H,5YTK,9606.ENSP00000316924,ENSG00000154930",,9606
Q09428-1,Protein,ABCC8_HUMAN,ABCC8,"ABCC8_HUMAN,ABCC8,6C3O,6C3P,9606.ENSP00000303960,CHEMBL2071,ENSG00000006071",,9606
Q12979,Protein,ABR_HUMAN,ABR,"ABR_HUMAN,ABR,9606.ENSP00000303909,ENSG00000159842,ENSG00000276016,ENSG00000278741",,9606
P02708-1,Protein,ACHA_HUMAN,CHRNA1,"ACHA_HUMAN,CHRNA1,1Y5P,1Y5T,1Y6C,4ZJS,5HBT,9606.ENSP00000261007,CHEMBL4808,ENSG00000138435",,9606
Q9Y305-4,Protein,ACOT9_HUMAN,ACOT9,"ACOT9_HUMAN,ACOT9,9606.ENSP00000368605,CHEMBL4295987,ENSG00000123130",,9606
Q96IU4,Protein,ABHEB_HUMAN,ABHD14B,"ABHEB_HUMAN,ABHD14B,1IMJ,9606.ENSP00000420065,ENSG00000114779",,9606
Q15825-2,Protein,ACHA6_HUMAN,CHRNA6,"ACHA6_HUMAN,CHRNA6,9606.ENSP00000276410,CHEMBL2109233,CHEMBL2109237,CHEMBL3137285,ENSG00000147434",,9606
Q5VUR7,Protein,A20A3_HUMAN,ANKRD20A3P,"A20A3_HUMAN,ANKRD20A3P,9606.ENSP00000482325,ENSG00000276203",,9606
P35609-1,Protein,ACTN2_HUMAN,ACTN2,"ACTN2_HUMAN,ACTN2,1H8B,1HCI,1QUU,4D1E,5A36,5A37,5A38,5A4B,9606.ENSP00000443495,ENSG00000077522",,9606
Q9UNQ0,Protein,ABCG2_HUMAN,ABCG2,"ABCG2_HUMAN,ABCG2,5NJ3,5NJG,6ETI,6FEQ,6FFC,6HBU,6HCO,6HIJ,6HZM,6VXF,6VXH,6VXI,6VXJ,9606.ENSP00000237612,CHEMBL5393,ENSG00000118777",,9606
Q6H8Q1-4,Protein,ABLM2_HUMAN,ABLIM2,"ABLM2_HUMAN,ABLIM2,1V6G,1WIG,2L3X,9606.ENSP00000393511,ENSG00000163995",,9606
